city_id,date,disaster_type,city,province,cause,death,missing_person,injured_person,damaged_house,flooded_house,damaged_facility
3209,2021-02-18,BANJIR,CIREBON,JAWA BARAT,"• Akibat hujan dengan intensitas tinggi, meluapnya Sungai Ciberes dan Saluran irigasi",0.0,0.0,0.0,0.0,2340.0,0
3216,2021-02-18,BANJIR,BEKASI,JAWA BARAT,hujan dengan intensitas tinggi,0.0,0.0,0.0,0.0,0.0,0
3210,2021-02-18,BANJIR,MAJALENGKA,JAWA BARAT,• Akibat hujan dengan intensitas tinggi dan meluapnya Sungai Cilutung,0.0,0.0,0.0,0.0,74.0,0
3215,2021-02-19,BANJIR,KARAWANG,JAWA BARAT,"• Akibat hujan dengan intensitas tinggi dan meluapnya Sungai Cibeet, Sungai Citarum, dan Sungai Cilamaya",0.0,0.0,0.0,23.0,29092.0,0
3201,2021-02-19,BANJIR,BOGOR,JAWA BARAT,• Akibat hujan deras dan meluapnya aliran Sungai Cileungsi dan Sungai Cikeas sehingga beberapa rumah terdampak dengan ketinggian air ±10 - 50 cm,0.0,0.0,0.0,0.0,1050.0,0
3201,2021-02-19,BANJIR,BOGOR,JAWA BARAT,hujan dengan intensitas tinggi yang cukup lama,0.0,0.0,0.0,0.0,0.0,0
3212,2021-02-19,BANJIR,INDRAMAYU,JAWA BARAT,Tidak diketahui,0.0,0.0,0.0,0.0,64.0,0
3201,2021-02-20,BANJIR,BOGOR,JAWA BARAT,"• Hujan dengan intensitas tinggi yang berangsur lama sehingga mengakibatkan meluapnya pertemuan aliran kali Cileungsi dan danau tunggiris. Sebab aliran drainase perumahan posisinya berada lebih bawah dari danau, sehingga air yang seharusnya mengalir ke arah pembuangan kembali mengalir ke dalam komplek perumahan",0.0,0.0,0.0,0.0,310.0,0
3276,2021-02-20,BANJIR,KOTA DEPOK,JAWA BARAT,• Akibat hujan dengan intensitas tinggi,0.0,0.0,0.0,0.0,14.0,0
3216,2021-02-20,BANJIR,BEKASI,JAWA BARAT,"• Akibat hujan dengan intesitas tinggi dan meluapnya debit air Kali/sungai Jambe, kali Sadang, kali Bekasi, kali Cibeet, kali Cimah Abang pada hari Sabtu, 20 Februari 2020, pkl. 11:00 WIB • Saluran drainase yang tidak dapat menampung air • Jebolnya tanggul Citarum di Ds. Sumberurip dan Ds. Karangsegar, Kec. Pebayuran",8.0,0.0,266.0,0.0,24500.0,0
3201,2021-02-20,BANJIR,BOGOR,JAWA BARAT,• Akibat hujan dengan intensitas tinggi dan tersumbatnya drainase perumahan.,0.0,0.0,0.0,0.0,80.0,0
3209,2021-02-20,BANJIR,CIREBON,JAWA BARAT,Tidak diketahui,0.0,0.0,0.0,0.0,150.0,0
3216,2021-02-21,BANJIR,BEKASI,JAWA BARAT,"• Akibat jebolnya tanggul sungai Citarum sepanjang ± 50 meter sehingga mengakibatkan banjir pada hari Minggu, 21 Februari 2021, pkl. 01.00 WIB",0.0,0.0,0.0,5.0,500.0,0
3211,2021-02-22,BANJIR,SUMEDANG,JAWA BARAT,• Hujan dengan intensitas tinggi,0.0,0.0,0.0,0.0,5.0,0
3210,2021-02-22,BANJIR,MAJALENGKA,JAWA BARAT,• Hujan terjadi di wilayah hulu sehingga Sungai Cimoyan meluap karena terjadi jembol tanggul dan meluap ke wilayah pesawahan dan merendam Jl. Dukuhwarung - Pagandon,0.0,0.0,0.0,0.0,9.0,0
3209,2021-02-24,BANJIR,CIREBON,JAWA BARAT,• Akibat hujan dengan intensitas tinggidan durasi yang lama menyebabkan meluapnya sungai Ciberes dan beberapa irigasi. Air mulai masuk ke wilayah pemukiman pada Pkl. 18:10 WIB,0.0,0.0,0.0,0.0,1545.0,7
3201,2021-02-26,BANJIR,BOGOR,JAWA BARAT,• Akibat hujan deras yang terus menerus dan saluran air yang tersumbat sampah sehingga mengakibatkan saluran air meluap ke pemungkiman warga.,0.0,0.0,0.0,0.0,15.0,0
3214,2021-02-26,BANJIR,PURWAKARTA,JAWA BARAT,Tidak diketahui,0.0,0.0,0.0,0.0,130.0,0
3212,2021-02-27,BANJIR,INDRAMAYU,JAWA BARAT,• Akibat hujan dengan intensitas tinggi dan tingginya debit air kiriman DAS Cipanas menyebabkan tanggul Sungai Cipanas jebol,0.0,0.0,0.0,0.0,2950.0,0
